,T,p,rho
8535,0.1919885843839486,0.2359454301840589,0.9185664802811428
8536,0.7354188193757116,0.7296465375997869,0.6495266900690684
8537,0.4160710616995831,0.3501331215557365,0.8190374299854619
8538,0.12654420685882461,0.3708154784529226,0.947288753407395
8539,0.9370015334797074,0.7282467324846863,0.4342765794587972
8540,0.5346634392299777,0.35437757841250206,0.7585006204811586
8541,0.5787123930199786,0.4419059256069209,0.7381512083244984
8542,0.0557796460637453,0.7755959231970226,0.9797605635667028
8543,0.8395620589789675,0.4750397391929071,0.4055697518667001
8544,0.694455630691309,0.5562746306508312,0.668653099383708
8545,0.6765124148471517,0.3686004122396863,0.6639278650057714
8546,0.377079944647537,0.660561854805381,0.8411169588414573
8547,0.43664398690970874,0.5231423118664744,0.8123210428048668
8548,0.27041531308728706,0.050709034575947554,0.8826649018998194
8549,0.09133190333768881,0.9534784106261055,0.9658774362320685
8550,0.756932962858248,0.7949139861971992,0.6291122678258829
8551,0.6357135247767771,0.0854629623817672,0.019823166659076855
8552,0.7372134289829078,0.5392853482884943,0.6386467737095862
8553,0.040978616813456825,0.48214229285605814,0.9846511525807267
8554,0.09287442135994439,0.22298387534403552,0.9607795809058239
8555,0.3493500730917788,0.29284980314174835,0.8495236050683836
8556,0.3603195939921122,0.1099509704421443,0.8422495471335969
8557,0.3866572845972628,0.16778327603262067,0.8303627447731499
8558,0.8280105004165913,0.23166583181208544,0.06289582074149173
8559,0.6097733485152075,0.30563302126169023,0.7152568969541351
8560,0.963950130704157,0.5256389446844177,0.22990439008566807
8561,0.2247442840433055,0.5841172833305975,0.9073616258894449
8562,0.1531309441834383,0.13201762518357585,0.9343957590981622
8563,0.3293432772696705,0.17544817540656,0.8577284752322862
8564,0.7781049209131407,0.31035584101717595,0.5737878141716206
8565,0.34239385170409276,0.13726788960718783,0.8510882592125645
8566,0.9180703185458851,0.11197268067817501,0.020235812284585333
8567,0.8625558172049661,0.7998271755567317,0.5432384308452518
8568,0.2831648810968881,0.6740932888509064,0.883143200402196
8569,0.5180955225824705,0.16637814218935765,0.7636944785909379
8570,0.9441178316517095,0.5470607968850346,0.3003032862837012
8571,0.11439943999084179,0.9574912311490531,0.9562900556741424
8572,0.46787109783640746,0.8422772262261593,0.8028180674201424
8573,0.6696856082377471,0.2614037998356631,0.6702603066870072
8574,0.7921616217148206,0.35835553473349724,0.5653447484409542
8575,0.7889661028206483,0.7869238427653427,0.5940829415276083
8576,0.6104775913279693,0.9886445410605135,0.7344385348484597
8577,0.684862307615432,0.023072535191185017,0.004908771125218517
8578,0.6337228146550627,0.8891304071648399,0.7166868101605395
8579,0.240607224339363,0.4808581247506827,0.8995215287052212
8580,0.4340769395619325,0.2720272274631518,0.8094558573780555
8581,0.44443792924297354,0.10085573084488197,0.802109729796047
8582,0.42968637952301103,0.29689845297076645,0.8118895205978409
8583,0.6502328227779829,0.10108691137118175,0.023229486549319292
8584,0.21251153699458003,0.6082489235796306,0.9127715357246331
8585,0.1915509483513379,0.2371690913104486,0.9187610167281993
8586,0.44874693028310364,0.1186546854006798,0.8002585585243253
8587,0.341504678328696,0.7030360582715747,0.8579079973259436
8588,0.8310100891058311,0.5359869751905431,0.5361536812809699
8589,0.15901880593451412,0.6952211146531196,0.9359504533111431
8590,0.09623739764789596,0.24765547560457368,0.9594699542336174
8591,0.6350442143278732,0.14307148309251905,0.692140849232426
8592,0.7241053702043485,0.4042827281980418,0.6240981750148148
8593,0.8037601358006277,0.36807101664569675,0.5345089941266168
8594,0.6707143237219597,0.3481386752701279,0.6703070483154603
8595,0.12223197540121067,0.1470770882759772,0.9477521830437283
8596,0.7498060035296217,0.3855501631924546,0.6027941883425737
8597,0.9721788427480338,0.07760828721871382,0.011939397090215314
8598,0.7816274125820233,0.6175791865257647,0.5938575988917505
8599,0.4587050875511677,0.6555253012393975,0.8042707669204099
8600,0.6316834538767953,0.050836647214178465,0.01159951273389369
8601,0.07879212810170189,0.7807520747867135,0.9701554691469358
8602,0.88198168822053,0.2697606417106889,0.07105513960879722
8603,0.3262950295491689,0.5869440419060707,0.8636826460992411
8604,0.10815995831135938,0.6697515478122227,0.9572839238166535
8605,0.22302811744511664,0.035132007725043324,0.9034487162414427
8606,0.6698743577022683,0.6462200299201457,0.6867392818461435
